,userName,toeflScore,greV,greQ,greA,termAndYear,ugCollege,cgpa,univName
11143,avs2805,105.0,155.0,163.0,4.0,Fall - 2015,Nagpur University,0.78,University of Illinois Chicago
11144,mech_fall_2011,99.0,610.0,730.0,3.5,Fall - 2011,Nagpur University,0.66,University of Illinois Chicago
11145,milin1234,103.0,152.0,157.0,3.0,Fall - 2013,Nagpur University,0.7120000000000001,University of Illinois Chicago
11146,pdaftari,105.0,156.0,161.0,3.5,Fall - 2013,Nagpur University,7.55,University of Illinois Chicago
11148,surabhi91,105.0,156.0,163.0,3.0,Fall - 2013,Nagpur University,0.61,University of Illinois Chicago
11149,uddyamiagrawal,101.0,550.0,780.0,3.0,Fall - 2011,Nagpur University,0.7356,University of Illinois Chicago
11150,adongre,95.0,420.0,780.0,3.5,Fall - 2011,Nagpur University,0.63,University of Florida
11151,anikvish,94.0,150.0,162.0,3.0,Fall - 2013,Nagpur University,0.6545000000000001,University of Florida
11153,pdaftari,105.0,156.0,161.0,3.5,Fall - 2013,Nagpur University,7.55,University of Florida
11154,zeusaka,96.0,151.0,158.0,3.0,Fall - 2014,Nagpur University,0.74,University of Florida
11155,singhalrajat,110.0,154.0,168.0,4.0,Fall - 2014,Nagpur University,0.7440000000000001,University of Colorado Boulder
11156,avs2805,105.0,155.0,163.0,4.0,Fall - 2015,Nagpur University,0.78,University of Cincinnati
11157,Hrishikesh Deshkar,102.0,530.0,770.0,4.0,Fall - 2012,Nagpur University,0.65,University of Cincinnati
11158,mech_fall_2011,99.0,610.0,730.0,3.5,Fall - 2011,Nagpur University,0.66,University of Cincinnati
11159,pdaftari,105.0,156.0,161.0,3.5,Fall - 2013,Nagpur University,7.55,University of Cincinnati
11160,sam33rs,98.0,630.0,770.0,3.5,Fall - 2010,Nagpur University,0.77,University of Cincinnati
11162,Niteshd7,104.0,153.0,156.0,4.0,Fall - 2015,Nagpur University,0.621,University of Arizona
11163,ngp123,106.0,650.0,800.0,3.0,Fall - 2011,Nagpur University,0.0,Texas A and M University College Station
11164,amishra,109.0,149.0,160.0,4.0,Fall - 2012,Nagpur University,0.68,Syracuse University
11165,apoorvam,102.0,600.0,660.0,4.0,Fall - 2011,Nagpur University,0.6751999999999999,Syracuse University
11166,Hrishikesh Deshkar,102.0,530.0,770.0,4.0,Fall - 2012,Nagpur University,0.65,Syracuse University
11168,surabhi91,105.0,156.0,163.0,3.0,Fall - 2013,Nagpur University,0.61,Syracuse University
11169,uddyamiagrawal,101.0,550.0,780.0,3.0,Fall - 2011,Nagpur University,0.7356,Syracuse University
11170,venky1234,313.0,148.0,165.0,3.5,Fall - 2014,Nagpur University,0.745,Syracuse University
11172,javedlalani,96.0,580.0,760.0,2.5,Fall - 2011,Nagpur University,0.77,SUNY Buffalo
11173,ngp123,106.0,650.0,800.0,3.0,Fall - 2011,Nagpur University,0.0,SUNY Buffalo
11174,pdaftari,105.0,156.0,161.0,3.5,Fall - 2013,Nagpur University,7.55,SUNY Buffalo
11175,shalini.o,110.0,151.0,158.0,4.5,Fall - 2012,Nagpur University,0.76,SUNY Buffalo
11176,uddyamiagrawal,101.0,550.0,780.0,3.0,Fall - 2011,Nagpur University,0.7356,SUNY Buffalo
11178,shalini.o,110.0,151.0,158.0,4.5,Fall - 2012,Nagpur University,0.76,Purdue University
11179,adongre,95.0,420.0,780.0,3.5,Fall - 2011,Nagpur University,0.63,Northeastern University
11180,apoorvam,102.0,600.0,660.0,4.0,Fall - 2011,Nagpur University,0.6751999999999999,Northeastern University
11182,sanjoseyatri,98.0,149.0,154.0,3.0,Fall - 2013,Nagpur University,0.57,Northeastern University
11183,surabhi91,105.0,156.0,163.0,3.0,Fall - 2013,Nagpur University,0.61,Northeastern University
11185,harekrishnaparikh,102.0,570.0,780.0,4.0,Fall - 2011,Nagpur University,0.657,North Carolina State University
11187,sam33rs,98.0,630.0,770.0,3.5,Fall - 2010,Nagpur University,0.77,North Carolina State University
11188,pdaftari,105.0,156.0,161.0,3.5,Fall - 2013,Nagpur University,7.55,New York University
11189,uddyamiagrawal,101.0,550.0,780.0,3.0,Fall - 2011,Nagpur University,0.7356,New York University
11190,kritup,105.0,151.0,153.0,4.0,Fall - 2014,Nagpur University,0.65,New Jersey Institute of Technology
11192,singhalrajat,110.0,154.0,168.0,4.0,Fall - 2014,Nagpur University,0.7440000000000001,Georgia Institute of Technology
11193,mangeshnanoti,105.0,670.0,690.0,4.0,Fall - 2011,Nagpur University,0.58,George Mason University
11194,uddyamiagrawal,101.0,550.0,780.0,3.0,Fall - 2011,Nagpur University,0.7356,Carnegie Mellon University
11196,mandardalvi,94.0,149.0,162.0,3.5,Fall - 2013,Nagpur University,0.7,Arizona State University
11197,Phoenix2014,107.0,150.0,155.0,3.5,Fall - 2013,Nagpur University,0.0,Arizona State University
11198,singhalrajat,110.0,154.0,168.0,4.0,Fall - 2014,Nagpur University,0.7440000000000001,Arizona State University
11199,zeusaka,96.0,151.0,158.0,3.0,Fall - 2014,Nagpur University,0.74,Arizona State University
11200,sagar3086,86.0,400.0,710.0,3.0,Fall - 2011,Nagpur/G.H Raisoni,0.0,University of Maryland College Park
11201,sagar3086,86.0,400.0,710.0,3.0,Fall - 2011,Nagpur/G.H Raisoni,0.0,Northeastern University
11202,sagar3086,86.0,400.0,710.0,3.0,Fall - 2011,Nagpur/G.H Raisoni,0.0,George Mason University
11205,ateet9999,273.0,600.0,740.0,4.5,Fall - 2007,Nagur Univ,0.71,Rutgers University New Brunswick/Piscataway
11206,docm21,94.0,460.0,660.0,3.5,Fall - 2011,Nair Hospital Dental College,0.64,University of Florida
11207,Meghna Shah,94.0,460.0,660.0,3.5,Spring - 2011,Nair Hospital Dental College,0.63,University of Florida
11208,rajeshsamala,85.0,136.0,149.0,1.5,Fall - 2013,Nalla Malla Reddy Engineering college,0.63,University of Texas Dallas
11209,DamienPooh,109.0,158.0,169.0,4.0,Fall - 2013,Nanjing University,0.8290000000000001,University of Texas Dallas
11211,DamienPooh,109.0,158.0,169.0,4.0,Fall - 2013,Nanjing University,0.8290000000000001,SUNY Buffalo
11213,DamienPooh,109.0,158.0,169.0,4.0,Fall - 2013,Nanjing University,0.8290000000000001,Clemson University
11216,trumvu,105.0,650.0,800.0,4.0,Fall - 2012,Nanyang Technological University,0.95,Ohio State University Columbus
11218,varun3089,96.0,150.0,162.0,3.5,Fall - 2013,Narsee Monjee Institute of Management studies,0.775,University of Illinois Chicago
11220,aamir.irshad,102.0,590.0,700.0,2.0,Fall - 2011,National Institute Of Engineering,0.8859999999999999,University of Texas Dallas
11221,supritdk,102.0,151.0,159.0,3.5,Fall - 2014,National Institute of Engineering,0.86,University of Texas Dallas
11222,ashwinchadaga,108.0,31.0,610.0,5.5,Fall - 2012,National Institute of Engineering,0.68,University of Illinois Chicago
11224,susukivasanth,109.0,152.0,165.0,3.5,Fall - 2013,National Institute of Engineering,0.08900000000000001,Clemson University
11225,aamir.irshad,102.0,590.0,700.0,2.0,Fall - 2011,National Institute Of Engineering,0.8859999999999999,Arizona State University
11227,arjunshenoyk,98.0,410.0,740.0,3.5,Fall - 2011,National Institute of Engineering Mysore,0.7756000000000001,University of Texas Dallas
11228,dantv,109.0,490.0,720.0,3.5,Fall - 2012,National Institute of Engineering Mysore,0.7879999999999999,University of Texas Dallas
11231,rahulgsalecha,105.0,350.0,730.0,3.0,Fall - 2012,National Institute of Engineering Mysore,0.8140000000000001,University of Massachusetts Amherst
11232,karan1988,87.0,140.0,151.0,3.5,Fall - 2012,National Institute of Engineering Mysore,0.6,SUNY Stony Brook
11233,arjunshenoyk,98.0,410.0,740.0,3.5,Fall - 2011,National Institute of Engineering Mysore,0.7756000000000001,SUNY Buffalo
11234,rahulgsalecha,105.0,350.0,730.0,3.0,Fall - 2012,National Institute of Engineering Mysore,0.8140000000000001,Northeastern University
11235,rahulgsalecha,105.0,350.0,730.0,3.0,Fall - 2012,National Institute of Engineering Mysore,0.8140000000000001,George Mason University
11236,rajbxe789,95.0,146.0,162.0,3.5,Fall - 2012,National Institute of Science and Technology B.P.U.T Orissa,0.7559999999999999,Arizona State University
11237,scorpio1091,97.0,150.0,168.0,3.0,Fall - 2014,National Institute of Technology Durgapur,0.8380000000000001,University of Florida
11238,shantanu.ec,102.0,610.0,720.0,4.0,Fall - 2011,National Institute of technology jalandhar,0.66,Cornell University
11239,Areej,109.0,155.0,162.0,4.0,Fall - 2015,National Institute of Technology Warangal,0.0786,University of Florida
11240,yhwh,105.0,157.0,165.0,3.0,Fall - 2014,National Taiwan University,0.885,University of Maryland College Park
11241,yhwh,105.0,157.0,165.0,3.0,Fall - 2014,National Taiwan University,0.885,University of Arizona
11242,yhwh,105.0,157.0,165.0,3.0,Fall - 2014,National Taiwan University,0.885,Texas A and M University College Station
11243,yhwh,105.0,157.0,165.0,3.0,Fall - 2014,National Taiwan University,0.885,Syracuse University
11248,mtkc,113.0,570.0,780.0,4.0,Fall - 2011,National University of Singapore,0.884,University of Southern California
11249,SuperVegito,115.0,510.0,780.0,4.0,Fall - 2011,National University of Singapore,0.912,University of Minnesota Twin Cities
11250,mtkc,113.0,570.0,780.0,4.0,Fall - 2011,National University of Singapore,0.884,University of Michigan Ann Arbor
11251,mtkc,113.0,570.0,780.0,4.0,Fall - 2011,National University of Singapore,0.884,University of California Los Angeles
11252,userlcm,98.0,154.0,163.0,3.0,Fall - 2013,National University of Singapore,0.0,University of California Irvine
11253,SuperVegito,115.0,510.0,780.0,4.0,Fall - 2011,National University of Singapore,0.912,University of Arizona
11254,mtkc,113.0,570.0,780.0,4.0,Fall - 2011,National University of Singapore,0.884,Purdue University
11255,userlcm,98.0,154.0,163.0,3.0,Fall - 2013,National University of Singapore,0.0,Ohio State University Columbus
11256,mtkc,113.0,570.0,780.0,4.0,Fall - 2011,National University of Singapore,0.884,Georgia Institute of Technology
